챕터명,사이트 링크,파일,연결 기출,시험 포인트 행,볼드 수,정답 선택지 완전 일치,정답 키워드 대조,키워드 대조율,부정형 문항,긍정형 문항,본문 정답 근거 대조,본문 대조율,누락 기출 ID,태그,검토 플래그
아세틸렌 특성 (희석제·제조),/industrial-safety/written/chemical/acetylene-properties/,chemical/acetylene-properties.md,8,5,6,3,5,0.625,1,7,6,0.857,,개념,부정형 1
단열 압축 온도,/industrial-safety/written/chemical/adiabatic-compression/,chemical/adiabatic-compression.md,2,8,8,2,2,1.000,0,2,2,1.000,,계산,계산 직접 검토
BLEVE (비등액체증기폭발),/industrial-safety/written/chemical/bleve/,chemical/bleve.md,2,6,9,1,2,1.000,0,2,2,1.000,,개념,
Burgess-Wheeler 법칙,/industrial-safety/written/chemical/burgess-wheeler/,chemical/burgess-wheeler.md,1,6,9,1,1,1.000,0,1,1,1.000,,계산,계산 직접 검토
산업안전보건규칙 위험물질 분류,/industrial-safety/written/chemical/chemical-classification/,chemical/chemical-classification.md,10,6,6,7,8,0.800,1,9,9,1.000,,개념,부정형 1
CO₂ 소화약제 특성,/industrial-safety/written/chemical/co2-extinguisher/,chemical/co2-extinguisher.md,2,6,7,0,1,0.500,2,0,0,1.000,,개념,부정형 2
연소 범위와 위험성,/industrial-safety/written/chemical/combustion-range-risk/,chemical/combustion-range-risk.md,21,8,11,3,8,0.381,2,19,11,0.579,,개념,부정형 2
완전연소 조성 농도 (Cst),/industrial-safety/written/chemical/complete-combustion-cst/,chemical/complete-combustion-cst.md,8,13,12,3,4,0.500,0,8,5,0.625,,계산,계산 직접 검토
농도 환산 (vol% → mg/L),/industrial-safety/written/chemical/concentration-conversion/,chemical/concentration-conversion.md,3,7,7,0,1,0.333,0,3,3,1.000,,계산,계산 직접 검토
분진폭발 요인 (화학·물리적),/industrial-safety/written/chemical/dust-explosion-factors/,chemical/dust-explosion-factors.md,13,6,9,1,6,0.462,4,9,9,1.000,,개념,부정형 4
흡열반응 물질,/industrial-safety/written/chemical/endothermic-substances/,chemical/endothermic-substances.md,1,5,6,1,1,1.000,0,1,1,1.000,,개념,
폭발 종류 (물리·화학),/industrial-safety/written/chemical/explosion-types/,chemical/explosion-types.md,3,6,7,1,1,0.333,3,0,0,1.000,,개념,부정형 3
소화약제별 주 소화효과,/industrial-safety/written/chemical/extinguisher-effects/,chemical/extinguisher-effects.md,4,6,6,3,3,0.750,0,4,3,0.750,,개념,
화재 분류 A·B·C·D급,/industrial-safety/written/chemical/fire-classification/,chemical/fire-classification.md,5,6,7,5,5,1.000,0,5,5,1.000,,개념,
소화 원리 4가지,/industrial-safety/written/chemical/fire-suppression-principles/,chemical/fire-suppression-principles.md,1,6,6,0,1,1.000,0,1,1,1.000,,개념,
인화점 vs 발화점,/industrial-safety/written/chemical/flash-vs-ignition-point/,chemical/flash-vs-ignition-point.md,9,4,4,1,3,0.333,2,7,5,0.714,,개념,부정형 2
푸리에 열전도 법칙,/industrial-safety/written/chemical/fourier-heat-law/,chemical/fourier-heat-law.md,1,5,5,1,1,1.000,0,1,1,1.000,,계산,계산 직접 검토
이상기체 법칙,/industrial-safety/written/chemical/ideal-gas-law/,chemical/ideal-gas-law.md,0,7,7,0,0,1.000,0,0,0,1.000,,계산,계산 직접 검토
Jones 식 (폭발범위 추정),/industrial-safety/written/chemical/jones-formula/,chemical/jones-formula.md,4,6,8,1,1,0.250,0,4,2,0.500,,계산,계산 직접 검토
르샤틀리에 법칙,/industrial-safety/written/chemical/lechatelier-law/,chemical/lechatelier-law.md,1,6,6,0,1,1.000,0,1,1,1.000,,계산,계산 직접 검토
혼합 용액 농도,/industrial-safety/written/chemical/mixed-solution-concentration/,chemical/mixed-solution-concentration.md,2,6,6,0,2,1.000,0,2,2,1.000,,계산,계산 직접 검토
퍼지 (불활성화),/industrial-safety/written/chemical/purge-inerting/,chemical/purge-inerting.md,1,7,8,1,1,1.000,1,0,0,1.000,,개념,부정형 1
위험물 반응 가스 발생,/industrial-safety/written/chemical/reactive-dangerous-gases/,chemical/reactive-dangerous-gases.md,2,5,5,1,1,0.500,0,2,2,1.000,,개념,
반응기·증류탑·열교환기,/industrial-safety/written/chemical/reactor-distillation-equipment/,chemical/reactor-distillation-equipment.md,9,6,6,0,4,0.444,7,2,2,1.000,,개념,부정형 7
폭발 위험 낮은 조합,/industrial-safety/written/chemical/safe-explosion-combinations/,chemical/safe-explosion-combinations.md,5,6,7,1,4,0.800,1,4,4,1.000,,개념,부정형 1
